Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
MAHABUBABAD,THORRUR,THORRUR,THORRUR(T),G.K THANDA,2,COMMERCIAL,6,5,92,13.81
MAHABUBABAD,THORRUR,THORRUR,THORRUR(T),GOLLA BAZAR,2,COMMERCIAL,19,19,4754,45
MAHABUBABAD,THORRUR,THORRUR,THORRUR(T),GURTHUR,2,COMMERCIAL,49,43,7692,89.62
MAHABUBABAD,THORRUR,THORRUR,THORRUR(T),HACHU THANDA,2,COMMERCIAL,8,6,11,12
MAHABUBABAD,THORRUR,THORRUR,THORRUR(T),JAMASTHANPUR,2,COMMERCIAL,5,3,55,6
MAHABUBABAD,THORRUR,THORRUR,THORRUR(T),JANGALA BAZAR,2,COMMERCIAL,16,14,278,31
MAHABUBABAD,THORRUR,THORRUR,THORRUR(T),JATOTH SOMULA THANDA,2,COMMERCIAL,1,1,0,1
MANCHERIAL,MANCHERIAL,CHENNUR,BHEEMARAM,ANKUSHAPUR,2,COMMERCIAL,2,2,178,3
MANCHERIAL,MANCHERIAL,CHENNUR,BHEEMARAM,AREPALLI,2,COMMERCIAL,8,8,165,14.424
MANCHERIAL,MANCHERIAL,CHENNUR,BHEEMARAM,BHEEMARAM,2,COMMERCIAL,313,286,34089,541.832
MANCHERIAL,MANCHERIAL,CHENNUR,BHEEMARAM,BURGUPALLI (NEW),2,COMMERCIAL,14,11,2292,20.458
MANCHERIAL,MANCHERIAL,CHENNUR,BHEEMARAM,DAMPUR,2,COMMERCIAL,5,5,207,9.24
MANCHERIAL,MANCHERIAL,CHENNUR,BHEEMARAM,DHARMARAM,2,COMMERCIAL,1,1,0,1
MANCHERIAL,MANCHERIAL,CHENNUR,BHEEMARAM,ELKESHWAR,2,COMMERCIAL,1,1,0,1
MANCHERIAL,MANCHERIAL,CHENNUR,BHEEMARAM,KAZIPALLI,2,COMMERCIAL,16,16,2253,40.274
MANCHERIAL,MANCHERIAL,CHENNUR,BHEEMARAM,KOTHAPALLY (JAIPUR),2,COMMERCIAL,5,5,205,13.99
